overall_review,overall_review_count,recent_review,recent_review_count,genres,categories,age_rating,discount_percentage
89,27441,87,472,"Adventure, Simulation","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0,-50
84,77875,85,354,"Action, Indie","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Family Sharing",0,-80
92,22076,93,472,"Racing, Simulation, Sports","Single-player, Online PvP, LAN PvP, VR Supported, Family Sharing",0,-43
97,134358,96,2149,"Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,-66
77,8721,74,120,"RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-70
88,2721,85,61,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-80
88,3620,84,801,"Casual, Simulation, Strategy","Single-player, Steam Cloud, Family Sharing",0,-35
79,126774,76,1279,"Action, Adventure, RPG","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0,-68
91,79905,96,973,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",1,-85
80,10893,74,171,Strategy,"Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play Together, Family Sharing",0,-100
85,8597,81,218,"Action, Early Access","Single-player, Online Co-op, Steam Achievements, Family Sharing",0,-25
88,57739,79,599,"Action, Adventure","Single-player, In-App Purchases",1,-70
89,3579,89,28,Strategy,"Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Cloud, Remote Play Together, Family Sharing",0,-50
75,14385,76,396,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-33
75,12552,78,192,"Action, Adventure, RPG","Single-player, Online Co-op, LAN Co-op, Steam Achievements, Family Sharing",1,-75
96,23374,93,490,"Racing, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Includes level editor, Family Sharing",0,-29
90,44357,92,584,"Action, Casual, Indie","Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0,-77
95,12790,96,227,"Action, Casual, Indie, Strategy","Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",0,-50
72,5437,51,157,Action,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, HDR available, Family Sharing",1,-60
85,22492,84,1470,"Action, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,-20
92,12118,84,86,Action,"Single-player, Steam Achievements, Steam Leaderboards, Remote Play on TV, Family Sharing",0,-80
72,12500,62,388,"Action, Simulation, Sports, Early Access","Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Cloud, Remote Play Together, Family Sharing",0,-20
96,103249,96,1473,"Adventure, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-50
95,36365,94,244,RPG,"Single-player, Steam Cloud, Family Sharing",0,-80
91,10679,81,169,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",0,-35
85,610,86,80,"Action, Casual, Indie, Early Access","Online PvP, Online Co-op, Steam Achievements, Steam Cloud, Stats, Family Sharing",0,-25
93,16833,96,717,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,-22
74,7803,81,43,RPG,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, SteamVR Collectibles, Steam Cloud, Family Sharing",1,-75
87,50058,85,870,"Action, Adventure, Indie, Simulation","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing",0,-67
80,7575,64,441,"Action, Indie, Massively Multiplayer, Strategy, Early Access","Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Family Sharing",0,-18
87,1936,75,100,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Family Sharing",0,-10
97,115077,97,1088,"Indie, Simulation, Strategy","Single-player, Online PvP, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,-66
91,25279,75,281,"Indie, Simulation","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,-55
96,5818,91,143,"Indie, RPG","Single-player, Shared/Split Screen Co-op, Steam Achievements, Steam Cloud, Remote Play Together, Family Sharing",0,-30
96,22790,96,188,"Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",0,-40
84,10770,67,194,"Indie, Simulation, Sports, Strategy","Single-player, Steam Achievements, Family Sharing",1,-70
94,27640,92,669,"Adventure, Indie","Single-player, Online Co-op, Steam Achievements, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,-70
95,8467,95,333,"Action, Adventure","Single-player, Steam Achievements, Steam Cloud, HDR available, Family Sharing",0,-40
84,24422,86,307,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet",1,-80
85,41175,76,117,Action,"Single-player, Online PvP, Online Co-op, Steam Achievements, Family Sharing",1,-75
97,4426,99,126,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0,-70
95,22024,93,294,"Action, Adventure, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,-20
88,3174,90,52,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-75
84,68245,86,443,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",1,-95
87,2671,84,63,"Action, Adventure, Casual, Indie","Single-player, Online Co-op, Shared/Split Screen Co-op, Remote Play Together, Family Sharing",0,-35
