Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
47,HarPalGeoOfficial,"Movies, Animation",47900000,Pakistan,395992,2756,77,http://youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug
48,BadBunnyPR,"Music and Dance, Movies",47300000,Mexico,449949288,13574212,712790,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
49,badabunOficial,-,47100000,Mexico,285663,12117,184,http://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ
51,abscbnentertainment,-,45900000,Filipinas,218058,3997,51,http://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw
52,felipeneto,-,45900000,Brasil,49407078,5059663,86121,http://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg
53,Mikecrack,"Movies, Animation",45400000,Mexico,74624991,3193949,179099,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ
55,MashaBearEN,"Movies, Animation",45100000,Unknown,30416541,318216,1863839,http://youtube.com/channel/UCu59yAFE8fM0sVNTipR4edw
56,vcsabiavideos,-,45100000,Brasil,36561192,2303177,33496,http://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ
57,Alanwalkermusic,"Music and Dance, Movies",44700000,USA,3780682,312909,14320,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ
58,KatyPerry,music and dance,44600000,Unknown,11264565,558414,41640,http://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
59,BRIGHTSIDEOFFICIAL,-,44500000,USA,1029038,23564,1029,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw
60,whindersson,"Music and Dance, Animation",44500000,Brasil,4418898,587942,3779,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw
61,KimberlyLoaiza,music and dance,43100000,Mexico,373091613,29399619,2632368,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ
62,IshtarMusic,music and dance,43100000,India,1347632,46523,544,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ
63,speedrecords,music and dance,43000000,India,1666434,49676,2122,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew
64,JessNoLimit,"Movies, Animation",42700000,Indonesia,12018420,493519,5177,http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA
65,LikeNastya_Show,"Movies, Toys",42700000,Unknown,5374068,22411,1952959,http://youtube.com/channel/UCS94J1s6-qc8v7btCdS2pNg
66,luisitocomunica,-,41400000,Mexico,104908919,2884995,56201,http://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA
67,shfa2,Animation,41300000,Unknown,31562753,262664,1778365,http://youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ
68,beterbocuk,-,41000000,India,36537489,1992417,12348,http://youtube.com/channel/UC6gVx_vALsYT-z_u1djJbBQ
69,luccastoon,"Movies, Animation",41000000,Brasil,9670409,223692,1410984,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA
70,LittleBabyBum,Animation,40900000,Unknown,2828071,5517,1776776,http://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q
71,CarryMinati,"Movies, Humor",40800000,India,141314108,16042515,222065,http://youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg
72,SuperSimpleSongs,music and dance,40500000,Unknown,22209185,50490,1363249,http://youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q
73,SonyPAL,-,40400000,India,694217,9396,385,http://youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg
74,RicisOfficial1795,"Music and Dance, Movies",40300000,Indonesia,7014304,463375,12168,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA
75,GaaneSuneAnsune,music and dance,40000000,India,1311818,7848,341,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w
76,WorkpointOfficial,-,39800000,Tailandia,269052,7390,34,http://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg
77,TEDx,-,39800000,USA,7184,133,1775992,http://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q
78,gr6explode,music and dance,39600000,Brasil,7084396,314566,23658,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA
79,shfa-1,Daily Vlogs,39600000,Francia,238730427,1808563,1432382,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg
80,vladvaniki1,"Movies, Humor",39400000,Unknown,23855453,75901,1759133,http://youtube.com/channel/UCcOMTVILq-yIqtFmOqt-QOg
81,YOLOAVENTURAS,"Movies, Animation",39200000,Mexico,125969929,6810249,39090,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A
82,ABPNEWS,-,39100000,India,141232,3020,39,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA
84,one31official,-,38800000,Tailandia,193648,4859,36,http://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA
85,DaddyYankee,music and dance,38400000,Colombia,1294468,141683,6729,http://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA
